start,end,duration_seconds,duration_minutes,app,device_id
2026-04-08T11:20:48.272033+02:00,2026-04-08T11:20:55.480697+02:00,7,0.12,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:21:06.239669+02:00,2026-04-08T11:21:37.985301+02:00,31,0.52,com.google.Maps,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:25:22.880610+02:00,2026-04-08T11:25:25.190480+02:00,2,0.03,com.google.Maps,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:27:11.432469+02:00,2026-04-08T11:27:25.218605+02:00,13,0.22,com.google.Maps,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:28:03.617559+02:00,2026-04-08T11:28:09.636656+02:00,6,0.1,com.apple.InCallService,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:28:12.901804+02:00,2026-04-08T11:36:59.039366+02:00,526,8.77,com.google.Maps,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:36:59.039366+02:00,2026-04-08T11:37:02.517058+02:00,3,0.05,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:37:43.039844+02:00,2026-04-08T11:38:16.764925+02:00,33,0.55,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:38:19.653911+02:00,2026-04-08T11:39:29.007235+02:00,69,1.15,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:39:29.007235+02:00,2026-04-08T11:40:26.077193+02:00,57,0.95,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:40:26.077193+02:00,2026-04-08T11:40:40.814593+02:00,14,0.23,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:40:40.814593+02:00,2026-04-08T11:40:42.597647+02:00,1,0.02,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:41:56.122702+02:00,2026-04-08T11:41:58.173949+02:00,2,0.03,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:41:58.288834+02:00,2026-04-08T11:42:19.287453+02:00,20,0.33,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:42:35.927562+02:00,2026-04-08T11:44:01.232795+02:00,85,1.42,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:45:32.188356+02:00,2026-04-08T11:45:38.759571+02:00,6,0.1,com.apple.MobileSMS,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:45:41.106103+02:00,2026-04-08T11:45:45.883067+02:00,4,0.07,com.microsoft.Office.Outlook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:45:46.591378+02:00,2026-04-08T11:48:52.329303+02:00,185,3.08,com.google.Maps,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:57:23.569402+02:00,2026-04-08T11:57:35.260007+02:00,11,0.18,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:57:35.260007+02:00,2026-04-08T11:58:00.117230+02:00,24,0.4,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:58:00.117230+02:00,2026-04-08T11:58:01.843229+02:00,1,0.02,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T11:58:01.843229+02:00,2026-04-08T11:58:11.071431+02:00,9,0.15,com.facebook.Facebook,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:20:27.910299+02:00,2026-04-08T12:21:57.891133+02:00,89,1.48,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:24:27.268193+02:00,2026-04-08T12:24:34.051338+02:00,6,0.1,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:32:14.320570+02:00,2026-04-08T12:32:16.314020+02:00,1,0.02,com.facebook.Messenger,E8F47AE0-422F-4154-8235-821961ECC767
2026-04-08T12:32:22.148718+02:00,2026-04-08T12:32:55.117361+02:00,32,0.53,com.woltapp.wolt,E8F47AE0-422F-4154-8235-821961ECC767
